# Generated by tmod.input prcp_voronoi=prcp_stations_voronoi_watershed evap_voronoi=evap_stations_voronoi_watershed start_date=2010-01-01 end_date=2020-12-31 output=input.txt
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.000000 0.006900
0.000000 0.006100
0.000000 0.005100
0.000000 0.004300
0.000000 0.004300
0.000000 0.005100
0.000000 0.004600
0.000000 0.005300
0.007466 0.004800
0.011167 0.000800
0.000000 0.005800
0.000000 0.004600
0.000000 0.005300
0.000000 0.004300
0.000000 0.003800
0.000000 0.003800
0.000000 0.003800
0.000000 0.003000
0.000000 0.003000
0.000000 0.004300
0.000000 0.003800
0.000000 0.004300
0.000000 0.004600
0.000000 0.007100
0.000000 0.004600
0.000000 0.003800
0.000000 0.003300
0.000000 0.004300
0.000000 0.002300
0.000000 0.001800
0.000000 0.003800
0.000000 0.004100
0.000000 0.004300
0.000000 0.003800
0.000000 0.003300
0.000000 0.003800
0.000000 0.003800
0.000000 0.003300
0.000000 0.003000
0.000000 0.003300
0.000000 0.003000
0.000000 0.003600
0.000000 0.003800
0.000000 0.002800
0.000000 0.002500
0.000000 0.002500
0.000260 0.001000
0.000000 0.001500
0.000000 0.001500
0.000000 0.002000
0.000000 0.002300
0.000000 0.003600
0.000000 0.006400
0.000000 0.003800
0.000000 0.002500
0.000000 0.002000
0.000025 0.003000
0.000000 0.002300
0.000000 0.005600
0.000000 0.002500
0.000000 0.002000
0.034372 0.002000
0.011004 0.003000
0.017443 0.003300
0.000000 0.002500
0.000000 0.003000
0.007681 0.000800
0.015899 0.000000
0.015628 0.000000
0.008859 0.000800
0.000000 0.001300
0.000000 0.002500
0.000000 0.001300
0.000000 0.001000
0.000060 0.001000
0.000988 0.000500
0.000498 0.000000
0.000000 0.001800
0.000000 0.001800
0.000000 0.002500
0.007620 0.000000
0.004128 0.001500
0.000000 0.000800
0.000000 0.001500
0.000000 0.002300
0.000000 0.002300
0.000000 0.002500
0.000000 0.002000
0.000000 0.003000
0.003844 0.001300
0.001515 0.000500
0.017211 0.001000
0.000000 0.002500
0.000000 0.002000
0.010942 0.000300
0.021194 0.000000
0.021729 0.000000
0.000062 0.000800
0.000000 0.001300
0.000000 0.001000
0.011128 0.000000
0.000051 0.000000
0.000000 0.001300
0.000000 0.001300
0.000882 0.000500
0.001461 0.002500
0.000000 0.001800
0.000000 0.000000
0.000000 0.002000
0.000000 0.002800
0.000780 0.001300
0.000208 0.001500
0.000000 0.003300
0.009878 0.002800
0.000181 0.001800
0.029843 0.001000
0.026072 0.002000
0.000140 0.002300
0.000000 0.002500
0.004012 0.003600
0.000000 0.006100
0.000000 0.003800
0.000000 0.003000
0.000083 0.002500
0.000000 0.003800
0.000000 0.003800
0.000000 0.002800
0.000000 0.002500
0.000000 0.002800
0.000157 0.006100
0.000747 0.002500
0.002219 0.001800
0.003989 0.001000
0.006454 0.003800
0.000000 0.002500
0.000000 0.003000
0.000444 0.004100
0.000056 0.005600
0.000000 0.003800
0.008082 0.003800
0.001460 0.005100
0.000000 0.003800
0.000000 0.005600
0.001452 0.001500
0.000000 0.003800
0.000000 0.003300
0.001637 0.002300
0.000240 0.001300
0.000000 0.002800
0.000275 0.005800
0.000034 0.007900
0.000000 0.004800
0.000094 0.003800
0.006195 0.001500
0.008986 0.006400
0.000000 0.005100
0.000000 0.005100
0.000000 0.002500
0.000380 0.003800
0.000007 0.001800
0.008651 0.003600
0.000000 0.004600
0.011043 0.005600
0.000072 0.005800
0.010119 0.001800
0.000197 0.001800
0.004518 0.000800
0.000017 0.002300
0.000000 0.003800
0.000000 0.004300
0.000385 0.002800
0.000324 0.005800
0.000000 0.005800
0.000000 0.004600
0.019829 0.004800
0.000000 0.005800
0.000000 0.004600
0.000000 0.002800
0.008692 0.003800
0.000042 0.004600
0.012806 0.004600
0.000007 0.005800
0.000000 0.005100
0.031531 0.003300
0.000000 0.005800
0.000000 0.006100
0.000000 0.005600
0.020082 0.003600
0.000000 0.005600
0.031858 0.003300
0.000283 0.006400
0.000000 0.004800
0.000000 0.005600
0.000000 0.006100
0.000000 0.004800
0.000000 0.006600
0.001977 0.003800
0.000020 0.006900
0.001227 0.006100
0.000000 0.005800
0.000000 0.006900
0.019050 0.006600
0.006984 0.003600
0.000031 0.001800
0.000759 0.005300
0.002257 0.006900
0.019037 0.007100
0.031151 0.001000
0.002254 0.004600
0.000000 0.005800
0.000056 0.005300
0.010928 0.000300
0.000000 0.003300
0.001906 0.004300
0.000710 0.005100
0.010535 0.005100
0.000000 0.006900
0.000000 0.005600
0.020001 0.004600
0.001421 0.002300
0.009967 0.003600
0.000000 0.006100
0.000000 0.006100
0.000000 0.007600
0.000000 0.007600
0.000000 0.007100
0.000423 0.004600
0.003754 0.003000
0.000000 0.006600
0.000000 0.007400
0.000000 0.006900
0.000007 0.007100
0.000010 0.003300
0.000007 0.007900
0.036323 0.004100
0.022150 0.001300
0.021855 0.002000
0.027880 0.002000
0.011192 0.002800
0.000000 0.005300
0.000072 0.006900
0.007233 0.006900
0.001981 0.003800
0.010042 0.005300
0.000214 0.004300
0.000000 0.006400
0.000000 0.005300
0.000426 0.007100
0.000137 0.006600
0.034696 0.004600
0.003103 0.006600
0.000138 0.006100
0.000146 0.006400
0.000717 0.006900
0.000000 0.007100
0.000000 0.007400
0.000000 0.006900
0.011756 0.007100
0.000916 0.005600
0.002322 0.007400
0.005483 0.006600
0.003615 0.006600
0.002948 0.006900
0.008616 0.005300
0.000992 0.004600
0.003079 0.003800
0.002486 0.004100
0.024766 0.005600
0.007305 0.007900
0.005326 0.003000
0.000003 0.003300
0.000000 0.008100
0.000000 0.007600
0.000000 0.007600
0.028063 0.005100
0.025699 0.007100
0.004836 0.005300
0.003269 0.006600
0.000964 0.006400
0.006867 0.006600
0.000808 0.007100
0.005720 0.007100
0.000439 0.007100
0.000528 0.007100
0.000000 0.007600
0.001246 0.008100
0.000000 0.007600
0.003138 0.007600
0.000150 0.009400
0.016870 0.007600
0.012033 0.005600
0.033664 0.009100
0.012418 0.004800
0.006372 0.007100
0.000172 0.006600
0.000663 0.007600
