# Generated by tmod.input prcp_voronoi=prcp_stations_voronoi_watershed evap_voronoi=evap_stations_voronoi_watershed start_date=2010-01-01 end_date=2020-12-31 output=input.txt
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.000000 0.005100
0.000022 0.003800
0.003291 0.000300
0.017712 0.000500
0.002709 0.001800
0.006515 0.003600
0.000000 0.005600
0.000000 0.006400
0.000000 0.004600
0.000454 0.006600
0.015396 0.000300
0.008821 0.003600
0.000046 0.002000
0.000000 0.003300
0.000000 0.002500
0.000019 0.003800
0.000000 0.003800
0.000000 0.002500
0.000000 0.003000
0.000185 0.003600
0.009479 0.002300
0.000000 0.002300
0.000000 0.003800
0.000000 0.001800
0.000000 0.002500
0.000353 0.003300
0.022336 0.001000
0.000000 0.005800
0.000000 0.005300
0.000000 0.003800
0.000000 0.002300
0.000007 0.001000
0.001087 0.000500
0.000000 0.003800
0.000000 0.003800
0.000000 0.003000
0.000000 0.001300
0.001838 0.003300
0.039279 0.000800
0.022291 0.001300
0.000000 0.004100
0.000000 0.002000
0.000937 0.001300
0.001172 0.000800
0.000225 0.000500
0.020119 0.003600
0.000000 0.003600
0.000000 0.002000
0.000072 0.001800
0.000469 0.001300
0.023627 0.002000
0.052032 0.002300
0.000836 0.000000
0.000000 0.000000
0.000000 0.001800
0.000000 0.001800
0.000000 0.002000
0.000138 0.001500
0.009085 0.001000
0.044670 0.000000
0.006814 0.001500
0.000000 0.001500
0.000000 0.001300
0.000000 0.001500
0.000007 0.003800
0.000352 0.000000
0.000000 0.001300
0.000000 0.001300
0.000907 0.001800
0.002240 0.000800
0.000000 0.002300
0.000000 0.001800
0.000470 0.001800
0.016704 0.000000
0.006670 0.000000
0.036352 0.001300
0.000000 0.002500
0.000008 0.000800
0.001029 0.000500
0.031988 0.001300
0.004253 0.001500
0.000000 0.001500
0.000000 0.001800
0.001910 0.000000
0.000000 0.001800
0.000011 0.003000
0.000056 0.003000
0.000000 0.001500
0.000000 0.001800
0.000000 0.001500
0.000411 0.001800
0.004647 0.001000
0.009800 0.000500
0.005183 0.002000
0.013358 0.000800
0.011703 0.002800
0.000831 0.001300
0.000000 0.001800
0.000000 0.002500
0.000000 0.002500
0.001058 0.001300
0.035752 0.002300
0.000000 0.002800
0.000685 0.001300
0.024890 0.000000
0.011533 0.000000
0.012023 0.000500
0.016832 0.000000
0.000000 0.001300
0.000168 0.000800
0.011338 0.000000
0.000007 0.003000
0.000007 0.002800
0.000007 0.003800
0.000000 0.002300
0.000219 0.001000
0.007145 0.001300
0.000000 0.002500
0.000894 0.001300
0.016858 0.001000
0.000220 0.003800
0.000000 0.000800
0.000052 0.001500
0.000000 0.002300
0.000000 0.001300
0.000000 0.001000
0.000000 0.003600
0.000011 0.002000
0.000794 0.003300
0.000718 0.000300
0.003352 0.002800
0.002282 0.001000
0.000062 0.002300
0.002898 0.001300
0.008463 0.000000
0.000000 0.003800
0.000229 0.001800
0.006374 0.002500
0.000268 0.003800
0.000181 0.005800
0.000011 0.004100
0.000182 0.003800
0.000124 0.001800
0.008498 0.002300
0.009563 0.000000
0.003619 0.006900
0.053848 0.004600
0.000003 0.003800
0.000000 0.005100
0.000000 0.004800
0.000000 0.004100
0.000258 0.001800
0.012648 0.003300
0.003289 0.002300
0.000000 0.003600
0.001002 0.003800
0.008054 0.000800
0.000371 0.003000
0.000135 0.004600
0.004110 0.003800
0.004143 0.003800
0.003488 0.003800
0.001295 0.003800
0.000045 0.005600
0.000011 0.004600
0.000011 0.003800
0.007495 0.002500
0.001143 0.001500
0.000377 0.006600
0.000000 0.003800
0.000864 0.005100
0.000000 0.004800
0.000000 0.004100
0.000335 0.006600
0.027517 0.003800
0.000003 0.004100
0.000029 0.006400
0.003229 0.006400
0.010204 0.003000
0.004195 0.002000
0.007267 0.007100
0.003180 0.004300
0.000000 0.005300
0.000000 0.007600
0.000000 0.007600
0.000000 0.007600
0.000000 0.005100
0.000000 0.005800
0.000000 0.005100
0.000000 0.006100
0.000000 0.003800
0.001480 0.005600
0.036288 0.005600
0.009711 0.002500
0.000058 0.002500
0.000684 0.006600
0.016238 0.004800
0.000000 0.006400
0.000000 0.004800
0.000003 0.003800
0.000000 0.004800
0.001197 0.005300
0.005949 0.002800
0.000000 0.005300
0.000000 0.005100
0.000000 0.006900
0.000374 0.005600
0.000000 0.007600
0.002389 0.006100
0.002496 0.005600
0.000011 0.007600
0.000496 0.007600
0.004099 0.004100
0.000447 0.003800
0.003950 0.001800
0.000000 0.007600
0.000066 0.005100
0.006646 0.002500
0.034877 0.002000
0.024519 0.004600
0.000072 0.003800
0.000011 0.005800
0.004173 0.004100
0.000000 0.006600
0.000617 0.006900
0.000505 0.004300
0.000587 0.005800
0.002294 0.005800
0.000497 0.001800
0.000000 0.002300
0.000000 0.002500
0.000000 0.002500
0.000196 0.007100
0.002251 0.005100
0.008671 0.004100
0.000090 0.007600
0.011186 0.006400
0.004044 0.004100
0.000421 0.007100
0.014175 0.008600
0.000630 0.006400
0.003698 0.003000
0.002097 0.006100
0.000591 0.006900
0.000000 0.005600
0.000946 0.006600
0.016251 0.001300
0.002062 0.002500
0.000029 0.005600
0.004883 0.006400
0.003135 0.003800
0.000000 0.006400
0.000000 0.006400
0.000000 0.006400
0.000912 0.007600
0.000000 0.007600
0.000000 0.006100
0.000236 0.007600
0.004709 0.006400
0.000217 0.006600
0.000204 0.006100
0.000105 0.007100
0.000000 0.009100
0.000000 0.007600
0.000000 0.008900
0.000360 0.006400
0.000000 0.008400
0.039367 0.005100
0.000740 0.005300
0.002501 0.008600
0.000034 0.006900
0.001641 0.007900
0.002287 0.008400
0.000000 0.008100
0.002525 0.006900
0.002558 0.011400
0.010380 0.005100
0.005464 0.006100
0.003797 0.002300
